Date;Open;High;Low;Close;WAP;No. of Shares;No. of Trades;Total Turnover;Deliverable Quantity;% Deli. Qty to Traded Qty;Spread H-L;Spread C-O
16.04.2015;107;117;107;116;1.15E+11;184310;400;211430;184310;1000;1;9
15.04.2015;112;112;107;112;1.12E+11;13000;110;14510;13000;1000;5;0
13.04.2015;107;117;107;107;1.09E+11;123500;280;134380;123500;1000;1;0
10.04.2015;113;113;103;112;1.08E+11;128010;290;137790;128010;1000;1;-1
09.04.2015;11;11;10;108;1.05E+11;150280;340;158280;150280;1000;1;-2
08.04.2015;105;105;10;105;1.04E+11;200920;250;209560;200920;1000;5;0
07.04.2015;10;10;10;10;10;500000;400;500000;500000;1000;0;0
06.04.2015;105;105;105;105;105;142000;240;149100;142000;1000;0;0
01.04.2015;11;12;11;11;11530499586;72460;150;83550;72460;1000;1;0
31.03.2015;127;127;115;115;1.17E+11;11000;210;12890;11000;1000;12;-12
30.03.2015;121;121;121;121;121;1000;20;1210;1000;1000;0;0
27.03.2015;127;139;127;127;1.27E+11;51100;80;64900;51100;1000;12;0
26.03.2015;147;147;133;133;1.43E+11;42710;4860;61040;42710;1000;14;-14
24.03.2015;129;14;128;14;1.29E+11;33050;850;42670;33050;1000;12;11
23.03.2015;123;134;122;134;1.23E+11;195300;4790;239640;195300;1000;12;11
20.03.2015;14;14;128;128;1.37E+11;9220;2690;12670;9220;1000;12;-12
19.03.2015;134;134;134;134;13397260274;7300;4560;9780;7300;1000;0;0
18.03.2015;141;141;141;141;1.41E+11;10500;50;14800;10500;1000;0;0
17.03.2015;148;162;148;148;1.48E+11;25650;2810;38070;25650;1000;14;0
16.03.2015;155;155;155;155;154;500;20;770;500;1000;0;0
13.03.2015;163;163;163;163;16299951148;102350;2800;166830;102350;1000;0;0
12.03.2015;171;171;171;171;171;3000;1370;5130;3000;1000;0;0
11.03.2015;18;18;18;18;1.80E+11;146030;960;262850;146030;1000;0;0
